filepath,filename,label,split
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_30848.jpg,BNE_30848.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_87762.jpg,MO_87762.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_487696.jpg,EO_487696.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_311939.jpg,MO_311939.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_48767.jpg,EO_48767.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_112339.jpg,MO_112339.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_999045.jpg,LY_999045.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_288581.jpg,MO_288581.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_372155.jpg,LY_372155.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_937420.jpg,BA_937420.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_58746.jpg,BA_58746.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_303697.jpg,MO_303697.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_85687.jpg,MO_85687.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_997225.jpg,MO_997225.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_9763.jpg,BNE_9763.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_844166.jpg,LY_844166.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_349949.jpg,MO_349949.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_921238.jpg,MO_921238.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_962162.jpg,LY_962162.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_930111.jpg,LY_930111.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_56375.jpg,BNE_56375.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_491904.jpg,EO_491904.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_889379.jpg,MO_889379.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_944690.jpg,BA_944690.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_884028.jpg,MO_884028.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_296311.jpg,BA_296311.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_53927.jpg,BNE_53927.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_150174.jpg,EO_150174.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_982740.jpg,BA_982740.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_100275.jpg,LY_100275.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_847110.jpg,BNE_847110.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_487468.jpg,EO_487468.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_113841.jpg,MO_113841.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_56409.jpg,MO_56409.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_933392.jpg,MO_933392.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_529391.jpg,EO_529391.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_814356.jpg,BNE_814356.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_483445.jpg,EO_483445.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_853764.jpg,LY_853764.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_546746.jpg,BA_546746.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/lymphocyte/LY_75762.jpg,LY_75762.jpg,lymphocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_140071.jpg,EO_140071.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/neutrophil/BNE_839717.jpg,BNE_839717.jpg,neutrophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_333456.jpg,BA_333456.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/monocyte/MO_331103.jpg,MO_331103.jpg,monocyte,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_1581.jpg,BA_1581.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_2683.jpg,EO_2683.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_277242.jpg,BA_277242.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_298364.jpg,BA_298364.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/eosinophil/EO_525056.jpg,EO_525056.jpg,eosinophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_80990.jpg,BA_80990.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_849723.jpg,BA_849723.jpg,basophil,train
../Dataset and Notebook-20251115/dataset_leukocytes/basophil/BA_987742.jpg,BA_987742.jpg,basophil,train
